TSRW10,MATS5se,nN,AXp-7d,NaasC,Xc-5dv,Xch-5dv,GATS4dv,AXp-4d,AATSC5are,nHBAcc,ATSC5are,ATSC5se,piPC10,AXp-3d,PEOE_VSA5,SlogP_VSA10,GGI4,SlogP_VSA1,SMILES,Lambda max (nm),Solvent,lumo,Bandgap
51.95550801,-0.083309061,0,0.04176891,2,0,0,1.20090612,0.147269581,-0.009231819,4,-0.618531856,-0.544257695,5.844268792,0.217873223,0,0,0.702222222,0,O=C(OCC)/C=C\C1=CC=C(/C=C/C(OCC)=O)C=C1,241.3,CH2Cl2,-2.22707,3.55688
68.34670795,-0.092864075,6,0.031192843,4,0.162214954,0.025819889,1.075339879,0.116421909,-0.021466157,8,-1.373834068,-0.750410653,6.742530486,0.184010892,5.098681808,17.32311183,1.258333333,10.45576234,NS(C1=CC([N+]([O-])=O)=C(NC2=NN(CC)C=N2)C=C1)(=O)=O,246,CH2Cl2,-2.39292,3.0332
49.28665665,-0.136963814,0,0.028745768,4,0.100592232,0,1.297435897,0.108128769,-0.027201897,2,-1.115277778,-0.426883444,7.058623793,0.169765827,0,0,1.351111111,0,O=C(C1=C2C=CC=C1)C3=C(C=CC=C3)C2=O,254,CH2Cl2,-2.36323,3.01207
50.67451775,-0.040758985,0,0.027504898,5,0.136743317,0,1.264694663,0.107030435,-0.020806127,2,-0.853051215,-0.157134609,7.184261856,0.167229176,0,0,1.662222222,0,O=C(C1=C2C=CC=C1)C3=C(C=CC=C3Cl)C2=O,255,CH2Cl2,-2.40398,3.00522
57.9477794,0.036896532,0,0.027168753,6,0.110558853,0,1.166587334,0.108184,-0.003861585,3,-0.262587755,0.196133541,7.848293402,0.170187513,0,0,1.853333333,4.736862954,O=C(C1=C2C=CC=C1)C3=C(C=CC=C3OC4=CC=CC=C4)C2=O,255,CH2Cl2,-2.88774,2.45864
56.88572546,0.10251928,1,0.025244251,6,0.256360811,0,1.04611665,0.101204317,0.011549708,3,0.993274913,0.80061486,7.562112903,0.167652852,0,5.687386275,2.373333333,4.899909731,O=C(C1=C2C=CC=C1)C3=C(C(Br)=CC=C3N(C(C)=O)C)C2=O,258,CH2Cl2,-2.70124,2.94425
50.3568202,0.258268092,1,0.029625928,2,0.119099508,0,1.127310576,0.109686269,0.020281123,2,0.993775034,0.835599014,8.034310735,0.175213589,0,0,1.391111111,4.736862954,ClC1=C2C(C=CC=C2)=NC3=CC=C(OC)C=C31,259,CH2Cl2,-2.88475,2.03662
74.37139415,-0.037975358,0,0.028948172,6,0.12837001,0,0.989362953,0.116596579,-0.001809147,6,-0.327455621,-0.518945615,7.970535274,0.188649962,0,0,2.213333333,0,O=C(C1=C2C=C(C(OCCCCCCCC)=O)C=C1)C3=C(C=CC(C(OCCCCCCCC)=O)=C3)C2=O,260.1,CH2Cl2,-2.72292,2.69677
53.30358956,0.091988392,4,0.033514791,5,0.044827831,0,0.982363695,0.119279133,0.028459968,6,1.593758222,0.658511396,6.682539269,0.190265345,0,28.43693137,1.275555556,11.05045608,NC(C=C1)=CC=C1NC2=C([N+]([O-])=O)C=C([N+]([O-])=O)C=C2,261,CH2Cl2,-2.37219,2.81524
50.61484512,0.053699139,0,0.027385304,5,0.100592232,0,1.185848726,0.106082286,-8.76E-05,3,-0.003856,0.243277306,7.19286373,0.169838005,0,0,1.622222222,0,O=C(C1=C2C=CC=C1)C3=C(C=CC(O)=C3)C2=O,265,CH2Cl2,-2.31574,2.97908
